,x,y,files,labels,dblabels,scores,Outliers,Scores - Linear,Scores - Log,colors
kplr005263974-2011073133259_llc.fits,-0.4861996416532189,2.177298519065611,./Plots/kplr005263974-2011073133259_llc.png,KIC 5263974,0,0.0025559398183497947,#009999,#fbe723,#7cd250,#1f77b4
kplr004842910-2011073133259_llc.fits,-0.39826129972951424,1.1406028919014741,./Plots/kplr004842910-2011073133259_llc.png,KIC 4842910,0,0.0010151344181910575,#009999,#fde725,#dfe318,#1f77b4
kplr008807676-2011073133259_llc.fits,-0.3239065533276511,0.7284232722598781,./Plots/kplr008807676-2011073133259_llc.png,KIC 8807676,0,0.001512651135646713,#009999,#fde725,#b2dd2d,#1f77b4
kplr007801339-2011073133259_llc.fits,-0.08937400020972022,-0.6518605726197266,./Plots/kplr007801339-2011073133259_llc.png,KIC 7801339,0,0.0026585522534335626,#009999,#fbe723,#77d153,#1f77b4
kplr010128726-2011073133259_llc.fits,-0.4648716535631293,1.7940039455720767,./Plots/kplr010128726-2011073133259_llc.png,KIC 10128726,0,0.0011980042961402477,#009999,#fde725,#cde11d,#1f77b4
kplr011960128-2011073133259_llc.fits,-0.46725052833746916,2.508002984868113,./Plots/kplr011960128-2011073133259_llc.png,KIC 11960128,0,0.0024594134039325807,#009999,#fbe723,#7fd34e,#1f77b4
kplr007039612-2011073133259_llc.fits,-0.24877438006972064,0.6239493323384541,./Plots/kplr007039612-2011073133259_llc.png,KIC 7039612,0,0.0026629091707435363,#009999,#fbe723,#77d153,#1f77b4
kplr008813404-2011073133259_llc.fits,-0.6196938390251477,1.4781765699237839,./Plots/kplr008813404-2011073133259_llc.png,KIC 8813404,0,0.00109308914809856,#009999,#fde725,#d8e219,#1f77b4
kplr007988854-2011073133259_llc.fits,-0.25930909498246335,2.055788245863862,./Plots/kplr007988854-2011073133259_llc.png,KIC 7988854,0,0.0013312052971528265,#009999,#fde725,#c2df23,#1f77b4
kplr007878049-2011073133259_llc.fits,0.03550174860714256,-5.174316796110945,./Plots/kplr007878049-2011073133259_llc.png,KIC 7878049,0,0.005868841124868056,#009999,#f6e620,#35b779,#1f77b4
kplr004832332-2011073133259_llc.fits,-0.6141041642783805,0.7786498201845053,./Plots/kplr004832332-2011073133259_llc.png,KIC 4832332,0,0.0017839584036517975,#009999,#fde725,#a0da39,#1f77b4
kplr005445340-2011073133259_llc.fits,0.06417295858818108,-1.6075656575345825,./Plots/kplr005445340-2011073133259_llc.png,KIC 5445340,0,0.006679901443218851,#009999,#f4e61e,#2eb37c,#1f77b4
kplr009775968-2011073133259_llc.fits,-0.31406485202807555,0.9461079447949843,./Plots/kplr009775968-2011073133259_llc.png,KIC 9775968,0,0.001270785319435748,#009999,#fde725,#c5e021,#1f77b4
kplr010214936-2011073133259_llc.fits,-0.40573478589286305,1.518619979202907,./Plots/kplr010214936-2011073133259_llc.png,KIC 10214936,0,0.0011444601739873544,#009999,#fde725,#d2e21b,#1f77b4
